elapsed_ms,temperature_c
0,47.75
13,47.75
26,47.75
39,47.75
52,47.75
65,47.75
78,47.75
92,47.75
105,47.75
199,47.75
212,47.75
225,47.75
238,47.75
252,47.75
265,47.75
278,47.75
292,47.75
305,47.9375
318,47.9375
332,47.9375
345,47.9375
438,47.9375
452,47.9375
466,47.9375
479,47.9375
493,47.9375
507,47.9375
590,47.9375
603,47.9375
616,47.9375
630,52.9375
644,52.9375
658,52.9375
740,52.9375
753,52.9375
767,52.9375
781,52.9375
795,52.9375
809,52.9375
892,52.9375
906,52.9375
920,52.9375
934,52.9375
948,71.0625
1029,71.0625
1089,71.0625
1144,71.0625
1199,71.0625
1252,71.0625
1307,80.625
1361,80.625
1415,80.625
1470,80.625
1524,80.625
1578,80.625
1709,90.5625
1763,90.5625
1818,90.5625
1872,90.5625
1926,90.5625
1980,109.8125
2036,109.8125
2090,109.8125
2145,109.8125
2199,109.8125
2254,109.8125
2309,119.1875
2364,119.1875
2496,119.1875
2551,119.1875
2607,128.0625
2660,128.0625
2718,128.0625
2773,128.0625
2828,128.0625
2883,128.0625
2939,145.5625
2994,145.5625
3050,145.5625
3106,145.5625
3160,145.5625
3293,154.0
3349,154.0
3405,154.0
3461,154.0
3517,154.0
3574,170.5
3629,170.5
3686,170.5
3741,170.5
3798,170.5
3855,170.5
3913,178.375
3968,178.375
4103,178.375
4159,178.375
4217,178.375
4273,186.9375
4330,186.9375
4388,186.9375
4445,186.9375
4503,186.9375
4562,203.125
4620,203.125
4677,203.125
4734,203.125
4792,203.125
4927,211.0625
4986,211.0625
5042,211.0625
5100,211.0625
5158,211.0625
5215,225.8125
5273,225.8125
5331,225.8125
5388,225.8125
5447,225.8125
5505,225.8125
5563,232.8125
5621,232.8125
5756,232.8125
5816,232.8125
5877,239.5625
5936,239.5625
5994,239.5625
6053,239.5625
6111,239.5625
6170,239.5625
6232,252.8125
6291,252.8125
6349,252.8125
6409,252.8125
6468,252.8125
6607,259.0625
6666,259.0625
6724,259.0625
6783,259.0625
6842,259.0625
6900,264.875
6960,264.875
7017,264.875
7076,264.875
7136,264.875
7194,276.625
7255,276.625
7314,276.625
7451,276.625
7511,276.625
7571,282.625
7630,282.625
7689,282.625
7748,282.625
7807,282.625
7866,294.0625
7926,294.0625
7986,294.0625
8045,294.0625
8104,294.0625
8163,294.0625
8301,299.5625
8362,299.5625
8423,299.5625
8483,299.5625
8544,304.875
8604,304.875
8665,304.875
8723,304.875
8784,304.875
8845,314.75
8906,314.75
8966,314.75
9026,314.75
9164,314.75
9225,318.875
9287,318.875
9347,318.875
9408,318.875
9468,318.875
9529,322.8125
9589,322.8125
9652,322.8125
9713,322.8125
9775,322.8125
9836,329.3125
9897,329.3125
10036,329.3125
10098,329.3125
10160,333.1875
10221,333.1875
10282,333.1875
10344,333.1875
10405,333.1875
10466,333.1875
10529,340.25
10591,340.25
10653,340.25
10714,340.25
10775,340.25
10915,344.0
10977,344.0
11040,344.0
11102,344.0
11166,347.75
11228,347.75
11291,347.75
11353,347.75
11417,347.75
11479,355.0625
11542,355.0625
11605,355.0625
11668,355.0625
11807,357.625
11871,357.625
11934,357.625
11997,357.625
12060,357.625
12123,357.625
12185,364.25
12249,364.25
12312,364.25
12376,364.25
12440,364.25
12504,367.5625
12568,367.5625
12709,367.5625
12773,367.5625
12837,370.8125
12901,370.8125
12966,370.8125
13031,370.8125
13095,370.8125
13160,375.875
13224,375.875
13288,375.875
13352,375.875
13417,375.875
13481,378.625
13623,378.625
13689,378.625
13753,378.625
13818,380.75
13885,380.75
13950,380.75
14015,380.75
14080,380.75
14144,384.75
14208,384.75
14273,384.75
14338,384.75
14403,384.75
14546,386.5
14610,386.5
14675,386.5
14740,386.5
14805,390.875
14871,390.875
14937,390.875
15003,390.875
15076,390.875
15142,393.125
15207,393.125
15272,393.125
15338,393.125
15482,395.4375
15547,395.4375
15614,395.4375
15679,395.4375
15747,395.4375
15812,398.25
15877,398.25
15943,398.25
16009,398.25
16074,398.25
16140,400.4375
16206,400.4375
16272,400.4375
16417,400.4375
16483,405.0
16549,405.0
16615,405.0
16682,405.0
16746,405.0
16810,407.3125
16876,407.3125
16942,407.3125
17007,407.3125
17072,407.3125
17138,409.6875
17204,409.6875
17348,409.6875
17415,409.6875
17483,413.9375
17550,413.9375
17617,413.9375
17684,413.9375
17751,413.9375
17818,416.4375
17885,416.4375
17952,416.4375
18020,416.4375
18090,416.4375
18157,418.625
18303,418.625
18370,418.625
18438,423.0
18506,423.0
18575,423.0
18643,423.0
18710,423.0
18817,424.8125
18870,424.8125
18922,424.8125
18974,424.8125
19028,424.8125
19081,424.8125
19211,426.875
19264,426.875
19317,426.875
19370,426.875
19425,428.375
19478,428.375
19530,428.375
19583,428.375
19638,428.375
19691,428.375
19743,428.375
19796,429.875
19849,429.875
19980,429.875
20034,429.875
20087,432.8125
20141,432.8125
20194,432.8125
20247,432.8125
20301,432.8125
20354,432.8125
20408,433.9375
20460,433.9375
20513,433.9375
20569,433.9375
20623,433.9375
20758,436.4375
20812,436.4375
20866,436.4375
20920,436.4375
20975,436.4375
21030,436.4375
21085,437.4375
21140,437.4375
21194,437.4375
21248,437.4375
21304,437.4375
21358,437.4375
21413,438.125
21547,438.125
21602,438.125
21657,438.125
21712,438.125
21765,439.125
21821,439.125
21876,439.125
21931,439.125
21986,439.125
22041,439.125
22097,439.25
22153,439.25
22209,439.25
22342,439.25
22397,439.3125
22451,439.3125
22507,439.3125
22565,439.3125
22620,439.3125
22674,439.3125
22730,441.5625
22786,441.5625
22841,441.5625
22896,441.5625
22952,441.5625
23008,441.5625
23142,442.9375
23198,442.9375
23254,442.9375
23310,442.9375
23367,445.6875
23421,445.6875
23478,445.6875
23534,445.6875
23591,445.6875
23647,445.6875
23702,446.625
23758,446.625
23814,446.625
23948,446.625
24005,446.625
24061,447.625
24119,447.625
24176,447.625
24233,447.625
24290,447.625
24347,447.625
24405,449.3125
24462,449.3125
24520,449.3125
24578,449.3125
24635,449.3125
24768,450.0
24827,450.0
24884,450.0
24941,450.0
24999,450.0
25057,451.125
25114,451.125
25171,451.125
25229,451.125
25290,451.125
25351,453.6875
25409,453.6875
25467,453.6875
25603,453.6875
25661,453.6875
25720,454.625
25779,454.625
25838,454.625
25896,454.625
25955,454.625
26014,456.5625
26073,456.5625
26132,456.5625
26191,456.5625
26250,456.5625
26310,456.5625
26446,457.8125
26505,457.8125
26564,457.8125
26623,457.8125
26683,458.75
26741,458.75
26801,458.75
26861,458.75
26920,458.75
26979,458.75
27038,460.3125
27098,460.3125
27158,460.3125
27297,460.3125
27356,461.0625
27418,461.0625
27478,461.0625
27537,461.0625
27597,461.0625
27658,462.375
27719,462.375
27779,462.375
27840,462.375
27901,462.375
27960,462.375
28021,463.5
28157,463.5
28218,463.5
28280,463.5
28339,464.375
28401,464.375
28461,464.375
28522,464.375
28583,464.375
28645,466.0625
28706,466.0625
28775,466.0625
28836,466.0625
28898,466.0625
29037,465.9375
29098,465.9375
29159,465.9375
29220,465.9375
29281,465.9375
29343,466.125
29405,466.125
29467,466.125
29528,466.125
29590,466.125
29651,467.1875
29712,467.1875
29774,467.1875
29913,467.1875
