elapsed_ms,temperature_c
0,76.75
12,76.75
93,76.5625
106,76.5625
119,76.5625
132,76.5625
145,76.5625
158,76.5625
170,76.5625
183,76.5625
196,76.5625
209,76.5625
222,76.5625
235,76.5625
248,76.5625
336,76.5625
349,76.5625
362,76.5625
375,76.5625
389,76.6875
402,76.6875
415,76.6875
493,76.6875
506,76.6875
519,76.6875
532,76.6875
545,76.6875
559,76.6875
636,76.6875
649,76.6875
663,76.6875
676,76.6875
690,76.6875
704,79.3125
779,79.3125
793,79.3125
806,79.3125
820,79.3125
833,79.3125
846,79.3125
922,79.3125
936,79.3125
994,79.3125
1049,83.6875
1102,83.6875
1156,83.6875
1209,83.6875
1263,83.6875
1316,83.6875
1436,93.8125
1491,93.8125
1545,93.8125
1599,93.8125
1653,93.8125
1707,98.5625
1760,98.5625
1814,98.5625
1868,98.5625
1924,98.5625
1978,98.5625
2033,108.8125
2088,108.8125
2214,108.8125
2269,108.8125
2324,108.8125
2379,113.5625
2435,113.5625
2489,113.5625
2544,113.5625
2599,113.5625
2654,113.5625
2709,118.0625
2765,118.0625
2820,118.0625
2875,118.0625
3000,126.6875
3056,126.6875
3112,126.6875
3169,126.6875
3224,126.6875
3281,126.6875
3337,130.9375
3393,130.9375
3451,130.9375
3506,130.9375
3564,130.9375
3620,130.9375
3678,138.6875
3805,138.6875
3862,138.6875
3918,138.6875
3975,138.6875
4031,141.75
4088,141.75
4145,141.75
4201,141.75
4256,141.75
4315,143.1875
4370,143.1875
4427,143.1875
4484,143.1875
4612,143.1875
4669,142.875
4726,142.875
4784,142.875
4841,142.875
4898,142.875
4955,142.875
5011,141.5625
5068,141.5625
5126,141.5625
5184,141.5625
5242,141.5625
5300,140.3125
5429,140.3125
5487,140.3125
5544,140.3125
5602,140.3125
5660,138.5
5719,138.5
5776,138.5
5833,138.5
5891,138.5
5951,138.5
6009,137.5
6067,137.5
6124,137.5
6252,137.5
6309,135.9375
6367,135.9375
6425,135.9375
6483,135.9375
6541,135.9375
6600,135.9375
6657,135.4375
6715,135.4375
6772,135.4375
6828,135.4375
6885,135.4375
6944,135.4375
7073,134.625
7131,134.625
7188,134.625
7248,134.625
7307,132.4375
7366,132.4375
7424,132.4375
7484,132.4375
7543,132.4375
7602,132.4375
7660,131.75
7719,131.75
7778,131.75
7908,131.75
7967,130.375
8027,130.375
8088,130.375
8147,130.375
8207,130.375
8268,129.625
8327,129.625
8387,129.625
8448,129.625
8509,129.625
8570,129.625
8631,129.0625
8762,129.0625
8823,129.0625
8883,129.0625
8943,127.4375
9004,127.4375
9066,127.4375
9126,127.4375
9188,127.4375
9247,127.4375
9310,126.625
9374,126.625
9435,126.625
9496,126.625
9628,125.875
9689,125.875
9751,125.875
9812,125.875
9875,125.875
9936,124.625
9997,124.625
10059,124.625
10120,124.625
10182,124.625
10244,124.0625
10304,124.0625
10366,124.0625
10500,124.0625
10561,124.0625
10623,122.875
10684,122.875
10746,122.875
10811,122.875
10873,122.875
10935,123.0625
10998,123.0625
11060,123.0625
11123,123.0625
11184,123.0625
11247,123.5625
11380,123.5625
11443,123.5625
11505,123.5625
11568,125.0625
11630,125.0625
11692,125.0625
11755,125.0625
11817,125.0625
11880,125.0625
11945,125.875
12008,125.875
12071,125.875
12133,125.875
12268,127.0
12331,127.0
12394,127.0
12456,127.0
12520,127.0
12583,127.1875
12647,127.1875
12709,127.1875
12774,127.1875
12837,127.1875
12900,127.6875
12963,127.6875
13026,127.6875
13162,127.6875
13226,128.875
13290,128.875
13353,128.875
13417,128.875
13481,128.875
13545,129.9375
13609,129.9375
13672,129.9375
13736,129.9375
13801,129.9375
13865,129.9375
13929,131.1875
14065,131.1875
14128,131.1875
14193,131.1875
14256,134.1875
14322,134.1875
14386,134.1875
14451,134.1875
14516,134.1875
14580,135.625
14644,135.625
14709,135.625
14774,135.625
14838,135.625
14974,139.625
15038,139.625
15104,139.625
15168,139.625
15233,141.625
15297,141.625
15368,141.625
15434,141.625
15499,141.625
15566,144.0
15631,144.0
15696,144.0
15762,144.0
15899,149.125
15965,149.125
16030,149.125
16096,149.125
16162,149.125
16228,151.8125
16294,151.8125
16360,151.8125
16426,151.8125
16493,151.8125
16562,156.25
16630,156.25
16696,156.25
16832,156.25
16898,159.0625
16964,159.0625
17030,159.0625
17097,159.0625
17165,159.0625
17232,162.25
17299,162.25
17367,162.25
17433,162.25
17501,162.25
17567,168.4375
17635,168.4375
17773,168.4375
17840,168.4375
17908,171.1875
17976,171.1875
18042,171.1875
18109,171.1875
18217,177.0
18268,177.0
18320,177.0
18373,177.0
18425,177.0
18478,177.0
18529,180.375
18651,180.375
18705,180.375
18758,180.375
18811,180.375
18864,184.125
18916,184.125
18969,184.125
19021,184.125
19074,184.125
19128,184.125
19181,190.75
19233,190.75
19286,190.75
19410,190.75
19464,190.75
19516,193.4375
19570,193.4375
19624,193.4375
19678,193.4375
19730,193.4375
19783,193.4375
19836,196.125
19891,196.125
19943,196.125
19997,196.125
20049,196.125
20172,202.625
20224,202.625
20279,202.625
20331,202.625
20385,202.625
20438,202.625
20492,205.6875
20545,205.6875
20599,205.6875
20653,205.6875
20708,205.6875
20761,205.6875
20815,209.0
20942,209.0
20996,209.0
21049,209.0
21105,209.0
21158,215.125
21211,215.125
21265,215.125
21321,215.125
21373,215.125
21428,215.125
21481,218.5
21536,218.5
21589,218.5
21715,218.5
21770,218.5
21822,225.25
21876,225.25
21930,225.25
21985,225.25
22039,225.25
22094,225.25
22149,228.625
22204,228.625
22259,228.625
22314,228.625
22368,228.625
22495,232.0
22549,232.0
22604,232.0
22659,232.0
22717,232.0
22772,232.0
22827,235.875
22882,235.875
22938,235.875
22994,235.875
23050,235.875
23105,235.0
23160,235.0
23286,235.0
23344,235.0
23399,235.0
23455,230.875
23512,230.875
23568,230.875
23624,230.875
23680,230.875
23735,230.875
23792,228.75
23849,228.75
23907,228.75
23965,228.75
24094,226.5625
24152,226.5625
24210,226.5625
24266,226.5625
24323,226.5625
24380,226.5625
24438,221.4375
24496,221.4375
24552,221.4375
24610,221.4375
24666,221.4375
24724,221.4375
24780,219.125
24909,219.125
24965,219.125
25023,219.125
25080,219.125
25139,216.5625
25196,216.5625
25255,216.5625
25314,216.5625
25373,216.5625
25432,210.1875
25491,210.1875
25548,210.1875
25606,210.1875
25734,210.1875
25793,207.3125
25851,207.3125
25910,207.3125
25968,207.3125
26026,207.3125
26085,203.125
26144,203.125
26202,203.125
26262,203.125
26320,203.125
26379,203.125
26438,200.625
26567,200.625
26625,200.625
26684,200.625
26743,198.25
26802,198.25
26860,198.25
26920,198.25
26979,198.25
27038,198.25
27098,192.8125
27157,192.8125
27216,192.8125
27276,192.8125
27407,190.375
27467,190.375
27526,190.375
27586,190.375
27645,190.375
27705,190.375
27765,188.1875
27825,188.1875
27885,188.1875
27946,188.1875
28007,188.1875
28067,187.25
28127,187.25
28258,187.25
28319,187.25
28380,186.9375
28440,186.9375
28501,186.9375
28560,186.9375
28622,186.9375
28682,186.9375
28743,186.5
28811,186.5
28872,186.5
28932,186.5
28994,186.5
29126,186.625
29187,186.625
29249,186.625
29311,186.625
29372,186.875
29434,186.875
29495,186.875
29556,186.875
29617,186.875
29678,186.875
29740,187.875
29802,187.875
29863,187.875
29997,187.875
30060,188.0625
30122,188.0625
30185,188.0625
30247,188.0625
30310,188.0625
30373,189.875
30435,189.875
30498,189.875
30560,189.875
30623,189.875
30685,190.875
30747,190.875
30880,190.875
30943,190.875
31005,190.875
31068,192.25
31132,192.25
31194,192.25
31257,192.25
31321,192.25
31384,195.4375
31447,195.4375
31510,195.4375
31573,195.4375
31637,195.4375
31773,197.1875
31836,197.1875
31900,197.1875
31964,197.1875
32026,199.0625
32090,199.0625
32154,199.0625
32219,199.0625
32282,199.0625
32347,202.8125
32413,202.8125
32478,202.8125
32543,202.8125
32679,204.875
32746,204.875
32811,204.875
32876,204.875
32940,204.875
33004,208.75
33068,208.75
33132,208.75
33197,208.75
33262,208.75
33326,210.5625
33391,210.5625
33456,210.5625
33592,210.5625
33658,212.5
33722,212.5
33787,212.5
33851,212.5
33918,212.5
33982,212.5
34046,215.875
34110,215.875
34175,215.875
34240,215.875
34305,215.875
34370,217.6875
34506,217.6875
34571,217.6875
34636,217.6875
34701,221.4375
34767,221.4375
34832,221.4375
34897,221.4375
34962,221.4375
35025,223.25
35092,223.25
35158,223.25
35224,223.25
35289,223.25
35426,224.75
35492,224.75
35556,224.75
35623,224.75
35687,229.25
35753,229.25
35819,229.25
35885,229.25
35950,229.25
36016,231.0625
36083,231.0625
36149,231.0625
36215,231.0625
36351,234.625
36418,234.625
36485,234.625
36553,234.625
36619,234.625
36686,236.9375
36752,236.9375
36820,236.9375
36887,236.9375
36954,236.9375
37022,239.1875
37090,239.1875
37156,239.1875
37295,239.1875
37403,243.1875
37455,243.1875
37508,243.1875
37561,243.1875
37614,243.1875
37667,245.25
37718,245.25
37771,245.25
37824,245.25
37876,245.25
37930,245.25
37982,247.125
38106,247.125
38159,247.125
38211,247.125
38262,247.125
38316,250.9375
38368,250.9375
38422,250.9375
38474,250.9375
38528,250.9375
38582,250.9375
38635,253.0
38692,253.0
38745,253.0
38870,253.0
38923,253.0
38976,258.0625
39030,258.0625
39086,258.0625
39140,258.0625
39193,258.0625
39248,258.0625
39302,259.9375
39356,259.9375
39410,259.9375
39463,259.9375
39517,259.9375
39642,262.0
39696,262.0
39749,262.0
39803,262.0
39857,262.0
39911,262.0
39966,265.375
40020,265.375
40075,265.375
40129,265.375
40184,265.375
40238,265.375
40292,266.75
40418,266.75
40472,266.75
40526,266.75
40580,266.75
40634,267.4375
40690,267.4375
40744,267.4375
40799,267.4375
40853,267.4375
40908,267.4375
40962,264.625
41018,264.625
41072,264.625
41197,264.625
41251,264.625
41305,261.25
41361,261.25
41414,261.25
41469,261.25
41525,261.25
41581,261.25
41636,254.5
41691,254.5
41747,254.5
41803,254.5
41858,254.5
41985,251.0625
42041,251.0625
42097,251.0625
42154,251.0625
42210,251.0625
42266,247.4375
42323,247.4375
42379,247.4375
42435,247.4375
42491,247.4375
42547,247.4375
42610,240.375
42666,240.375
42793,240.375
42849,240.375
42906,236.5
42963,236.5
43020,236.5
43078,236.5
43136,236.5
43193,236.5
43250,230.0
43306,230.0
43362,230.0
43419,230.0
43476,230.0
43604,226.9375
43663,226.9375
43720,226.9375
43778,226.9375
43835,226.9375
43893,224.0
43951,224.0
44009,224.0
44067,224.0
44125,224.0
44182,224.0
44240,219.8125
44299,219.8125
44427,219.8125
44486,219.8125
44545,219.8125
44602,217.6875
44660,217.6875
44718,217.6875
44778,217.6875
44837,217.6875
44896,215.1875
44955,215.1875
45014,215.1875
45073,215.1875
45131,215.1875
45260,210.5
45319,210.5
45379,210.5
45438,210.5
45498,210.5
45557,208.5
45617,208.5
45676,208.5
45735,208.5
45794,208.5
45853,208.5
45913,205.5
45972,205.5
46101,205.5
46162,205.5
46221,204.8125
46280,204.8125
46340,204.8125
46400,204.8125
46459,204.8125
46519,204.8125
46579,204.0
46640,204.0
46700,204.0
46760,204.0
46819,204.0
46950,202.9375
47010,202.9375
47072,202.9375
47132,202.9375
47192,202.8125
47253,202.8125
47314,202.8125
47374,202.8125
47434,202.8125
47496,202.8125
47557,202.6875
47617,202.6875
47678,202.6875
47814,202.6875
47875,203.0625
47936,203.0625
47997,203.0625
48059,203.0625
48120,203.0625
48181,203.25
48242,203.25
48303,203.25
48363,203.25
48424,203.25
48484,203.25
48545,203.9375
48677,203.9375
48737,203.9375
48798,203.9375
48860,204.4375
48920,204.4375
48981,204.4375
49041,204.4375
49104,204.4375
49166,205.3125
49228,205.3125
49289,205.3125
49352,205.3125
49413,205.3125
49547,207.8125
49608,207.8125
49672,207.8125
49733,207.8125
49796,207.8125
49857,208.875
49921,208.875
49984,208.875
50047,208.875
50110,208.875
50173,212.0
50235,212.0
50298,212.0
50432,212.0
50494,213.6875
50558,213.6875
50621,213.6875
50684,213.6875
50748,213.6875
50810,215.4375
50873,215.4375
50938,215.4375
51002,215.4375
51065,215.4375
51129,215.4375
51192,219.3125
51330,219.3125
51397,219.3125
51462,219.3125
51526,221.0625
51590,221.0625
51654,221.0625
51719,221.0625
51784,221.0625
51850,224.6875
51914,224.6875
51978,224.6875
52043,224.6875
52108,224.6875
52244,225.6875
52309,225.6875
52373,225.6875
52438,225.6875
52503,227.5
52568,227.5
52633,227.5
52697,227.5
52762,227.5
52830,231.6875
52896,231.6875
52960,231.6875
53026,231.6875
53163,233.8125
53229,233.8125
53293,233.8125
53359,233.8125
53425,233.8125
53491,236.0625
53556,236.0625
53622,236.0625
53686,236.0625
53751,236.0625
53817,240.0625
53883,240.0625
53949,240.0625
54088,240.0625
54154,242.6875
54221,242.6875
54286,242.6875
54352,242.6875
54419,242.6875
54485,247.5
54551,247.5
54618,247.5
54683,247.5
54749,247.5
54816,249.6875
54884,249.6875
55022,249.6875
55088,249.6875
55154,251.875
55221,251.875
55289,251.875
55356,251.875
55422,251.875
55489,255.4375
55556,255.4375
55623,255.4375
55689,255.4375
55755,255.4375
55820,256.9375
55960,256.9375
56027,256.9375
56094,256.9375
56160,260.9375
56228,260.9375
56293,260.9375
56400,260.9375
56452,263.5
56503,263.5
56554,263.5
56606,263.5
56658,263.5
56709,263.5
56833,265.75
56885,265.75
56937,265.75
56989,265.75
57041,265.75
57093,265.75
