elapsed_ms,temperature_c
0,73.4375
12,73.4375
25,73.4375
38,73.4375
50,73.4375
62,73.125
75,73.125
88,73.125
101,73.125
113,73.125
185,73.125
198,73.125
211,73.125
224,73.125
237,73.125
250,73.125
263,73.125
276,73.125
289,73.125
302,73.125
374,74.375
387,74.375
400,74.375
413,74.375
426,74.375
440,74.375
506,74.375
519,74.375
533,74.375
546,74.375
560,74.375
573,74.375
639,74.375
652,74.375
666,82.125
680,82.125
693,82.125
707,82.125
775,82.125
788,82.125
802,82.125
815,82.125
828,82.125
894,82.125
907,82.125
964,82.125
1016,91.125
1069,91.125
1124,91.125
1177,91.125
1231,91.125
1337,109.6875
1390,109.6875
1445,109.6875
1499,109.6875
1553,109.6875
1607,109.6875
1662,119.25
1717,119.25
1771,119.25
1825,119.25
1879,119.25
1934,119.25
2045,128.6875
2100,128.6875
2154,128.6875
2209,128.6875
2262,128.6875
2317,147.25
2371,147.25
2427,147.25
2482,147.25
2537,147.25
2592,147.25
2646,156.1875
2761,156.1875
2816,156.1875
2870,156.1875
2926,156.1875
2983,173.0625
3039,173.0625
3094,173.0625
3149,173.0625
3204,173.0625
3261,173.0625
3316,181.375
3373,181.375
3487,181.375
3544,181.375
3600,181.375
3655,189.5625
3712,189.5625
3768,189.5625
3824,189.5625
3880,189.5625
3936,189.5625
3992,204.5625
4048,204.5625
4105,204.5625
4220,204.5625
4277,211.8125
4334,211.8125
4392,211.8125
4449,211.8125
4506,211.8125
4563,211.8125
4620,226.3125
4677,226.3125
4733,226.3125
4790,226.3125
4847,226.3125
4964,233.0
5021,233.0
5079,233.0
5136,233.0
5193,233.0
5249,233.0
5307,239.75
5365,239.75
5422,239.75
5478,239.75
5537,239.75
5593,252.75
5710,252.75
5767,252.75
5824,252.75
5882,252.75
5940,259.4375
5998,259.4375
6057,259.4375
6114,259.4375
6172,259.4375
6230,259.4375
6288,265.8125
6346,265.8125
6462,265.8125
6522,265.8125
6580,278.0
6639,278.0
6698,278.0
6755,278.0
6814,278.0
6873,278.0
6931,284.0625
6990,284.0625
7048,284.0625
7107,284.0625
7225,284.0625
7283,294.5
7343,294.5
7401,294.5
7461,294.5
7519,294.5
7578,300.25
7637,300.25
7696,300.25
7754,300.25
7813,300.25
7872,300.25
7988,305.625
8045,305.625
8103,305.625
8161,305.625
8221,305.625
8279,315.9375
8339,315.9375
8398,315.9375
8456,315.9375
8514,315.9375
8574,320.8125
8632,320.8125
8749,320.8125
8807,320.8125
8867,320.8125
8927,329.9375
8987,329.9375
9047,329.9375
9106,329.9375
9166,329.9375
9226,334.0625
9284,334.0625
9345,334.0625
9405,334.0625
9525,334.0625
9586,337.9375
9647,337.9375
9707,337.9375
9770,337.9375
9831,337.9375
9892,345.625
9952,345.625
10013,345.625
10073,345.625
10135,345.625
10197,345.625
10317,348.9375
10378,348.9375
10439,348.9375
10500,348.9375
10562,352.125
10624,352.125
10686,352.125
10747,352.125
10811,352.125
10873,358.0625
10935,358.0625
10997,358.0625
11118,358.0625
11181,358.0625
11248,360.6875
11309,360.6875
11372,360.6875
11435,360.6875
11497,360.6875
11561,366.0
11624,366.0
11685,366.0
11748,366.0
11811,366.0
11933,369.0625
11996,369.0625
12059,369.0625
12122,369.0625
12185,369.0625
12247,372.6875
12311,372.6875
12374,372.6875
12438,372.6875
12503,372.6875
12565,378.9375
12629,378.9375
12751,378.9375
12817,378.9375
12879,382.1875
12942,382.1875
13005,382.1875
13069,382.1875
13133,382.1875
13197,388.4375
13261,388.4375
13326,388.4375
13389,388.4375
13454,388.4375
13578,391.125
13642,391.125
13705,391.125
13770,391.125
13834,391.125
13898,393.4375
13964,393.4375
14029,393.4375
14093,393.4375
14157,393.4375
14223,398.5
14287,398.5
14410,398.5
14476,398.5
14540,400.625
14605,400.625
14671,400.625
14735,400.625
14800,400.625
14866,402.25
14930,402.25
14995,402.25
15060,402.25
15126,402.25
15248,405.4375
15315,405.4375
15380,405.4375
15445,405.4375
15510,407.625
15576,407.625
15642,407.625
15708,407.625
15772,407.625
15837,412.0
15902,412.0
15969,412.0
16092,412.0
16158,412.75
16222,412.75
16288,412.75
16353,412.75
16420,412.75
16489,413.8125
16556,413.8125
16621,413.8125
16687,413.8125
16753,413.8125
16818,415.8125
16942,415.8125
17008,415.8125
17075,415.8125
17142,415.8125
17208,416.625
17275,416.625
17342,416.625
17408,416.625
17474,416.625
17540,419.5625
17607,419.5625
17674,419.5625
17799,419.5625
17866,421.4375
17933,421.4375
18000,421.4375
18067,421.4375
18134,421.4375
18239,423.5
18290,423.5
18342,423.5
18394,423.5
18446,423.5
18497,427.0625
18607,427.0625
18659,427.0625
18711,427.0625
18765,427.0625
18816,428.375
18869,428.375
18920,428.375
18972,428.375
19024,428.375
19077,428.375
19129,428.375
19181,430.875
19292,430.875
19345,430.875
19399,430.875
19452,430.875
19505,431.6875
19559,431.6875
19613,431.6875
19666,431.6875
19720,431.6875
19774,431.6875
19827,432.6875
19880,432.6875
19993,432.6875
20048,432.6875
20101,432.6875
20154,435.5
20208,435.5
20261,435.5
20315,435.5
20368,435.5
20422,435.5
20476,437.5625
20531,437.5625
20585,437.5625
20699,437.5625
20754,437.5625
20808,439.6875
20863,439.6875
20918,439.6875
20972,439.6875
21026,439.6875
21080,439.6875
21135,442.0
21189,442.0
21243,442.0
21298,442.0
21410,442.0
21464,443.0
21518,443.0
21573,443.0
21629,443.0
21683,443.0
21738,443.0
21792,445.9375
21847,445.9375
21901,445.9375
21957,445.9375
22013,445.9375
22128,447.5625
22184,447.5625
22239,447.5625
22294,447.5625
22349,447.5625
22405,447.5625
22460,449.3125
22515,449.3125
22570,449.3125
22626,449.3125
22682,449.3125
22738,449.3125
22852,450.75
22908,450.75
22965,450.75
23021,450.75
23077,450.75
23134,450.5
23190,450.5
23246,450.5
23303,450.5
23360,450.5
23417,450.3125
23473,450.3125
23590,450.3125
23645,450.3125
23700,450.3125
23757,452.4375
23813,452.4375
23868,452.4375
23924,452.4375
23981,452.4375
24037,452.4375
24093,453.6875
24150,453.6875
24206,453.6875
24321,453.6875
24377,453.6875
24433,455.0625
24489,455.0625
24545,455.0625
24601,455.0625
24659,455.0625
24716,455.0625
24773,455.9375
24831,455.9375
24889,455.9375
24947,455.9375
25062,456.875
25119,456.875
25177,456.875
25234,456.875
25292,456.875
25349,456.875
25409,456.0
25466,456.0
25524,456.0
25582,456.0
25641,456.0
25699,456.0
25816,456.375
25875,456.375
25934,456.375
25992,456.375
26051,456.1875
26109,456.1875
26168,456.1875
26228,456.1875
26287,456.1875
26345,456.1875
26406,456.0
26464,456.0
26584,456.0
26643,456.0
26703,456.0
26762,455.75
26821,455.75
26880,455.75
26940,455.75
26999,455.75
27060,454.1875
27120,454.1875
27181,454.1875
27241,454.1875
27360,454.1875
27421,453.3125
27480,453.3125
27541,453.3125
27601,453.3125
27661,453.3125
27721,453.1875
27782,453.1875
27842,453.1875
27903,453.1875
27963,453.1875
28024,455.5625
28144,455.5625
28205,455.5625
28266,455.5625
28327,455.5625
28387,457.3125
28448,457.3125
28510,457.3125
28571,457.3125
28631,457.3125
28692,458.75
28752,458.75
28813,458.75
28933,458.75
28995,458.75
29057,459.4375
29118,459.4375
29180,459.4375
29241,459.4375
29302,459.4375
29365,459.375
29426,459.375
29488,459.375
29550,459.375
29611,459.375
29730,459.1875
29792,459.1875
29855,459.1875
29917,459.1875
29977,459.1875
30040,458.75
30101,458.75
30163,458.75
30225,458.75
30287,458.75
30349,458.5625
30413,458.5625
30534,458.5625
30597,458.5625
30658,458.5625
30719,460.0
30781,460.0
30848,460.0
30911,460.0
30973,460.0
31035,461.25
31098,461.25
31160,461.25
31223,461.25
31344,464.4375
31407,464.4375
31469,464.4375
31532,464.4375
31594,464.4375
31656,464.4375
31718,466.25
31782,466.25
31845,466.25
31910,466.25
31973,466.25
32037,467.9375
32160,467.9375
32224,467.9375
32288,467.9375
32353,470.0
32417,470.0
32481,470.0
32545,470.0
32610,470.0
32674,470.6875
32738,470.6875
32802,470.6875
32866,470.6875
32988,470.75
33052,470.75
33117,470.75
33181,470.75
33246,470.75
33311,470.75
33377,470.25
33442,470.25
33508,470.25
33573,470.25
33638,470.25
33702,469.75
33827,469.75
33893,469.75
33958,469.75
34024,470.5625
34089,470.5625
34154,470.5625
34218,470.5625
34284,470.5625
34348,470.8125
34415,470.8125
34481,470.8125
34546,470.8125
34670,471.0
34735,471.0
34801,471.0
34867,471.0
34933,471.0
34999,471.6875
35066,471.6875
35132,471.6875
35198,471.6875
35264,471.6875
35331,472.625
35397,472.625
35523,472.625
35590,472.625
35656,473.3125
35722,473.3125
35788,473.3125
35855,473.3125
35921,473.3125
35987,474.0625
36053,474.0625
36120,474.0625
36186,474.0625
36253,474.0625
36380,475.375
36450,475.375
36516,475.375
36583,475.375
36650,475.625
36717,475.625
36784,475.625
36852,475.625
36920,475.625
36986,477.0625
37038,477.0625
37090,477.0625
37202,477.0625
37254,477.0625
37306,478.125
37358,478.125
37410,478.125
37462,478.125
37514,478.125
37567,478.125
37619,479.4375
37671,479.4375
37724,479.4375
37776,479.4375
37887,479.4375
37939,479.4375
37991,480.0625
38044,480.0625
38097,480.0625
38149,480.0625
38202,480.0625
38254,480.0625
38307,482.3125
38359,482.3125
38412,482.3125
38463,482.3125
38573,482.3125
38627,483.1875
38680,483.1875
38732,483.1875
38785,483.1875
38838,483.1875
38891,483.1875
38945,483.0
38998,483.0
39050,483.0
39103,483.0
39156,483.0
39268,483.0
39322,483.0
39375,483.0
39430,483.0
39484,483.0
