elapsed_ms,temperature_c
0,21.25
13,21.25
25,21.25
37,21.25
50,21.25
63,21.25
76,21.25
88,21.25
166,21.25
179,21.25
192,21.25
205,21.1875
218,21.1875
231,21.1875
244,21.1875
257,21.1875
270,21.1875
283,21.1875
295,21.1875
373,21.1875
387,21.1875
400,21.1875
414,21.1875
427,21.1875
440,21.1875
512,28.125
526,28.125
539,28.125
553,28.125
566,28.125
580,28.125
651,28.125
665,28.125
678,28.125
692,28.125
705,28.125
776,28.125
789,28.125
803,28.125
817,37.1875
830,37.1875
900,37.1875
914,37.1875
928,37.1875
942,37.1875
1054,37.1875
1106,37.1875
1160,46.75
1213,46.75
1266,46.75
1318,46.75
1370,46.75
1423,46.75
1477,66.4375
1527,66.4375
1579,66.4375
1631,66.4375
1746,66.4375
1798,76.3125
1851,76.3125
1903,76.3125
1957,76.3125
2009,76.3125
2063,76.3125
2115,86.0625
2170,86.0625
2225,86.0625
2277,86.0625
2329,86.0625
2445,105.0
2500,105.0
2552,105.0
2605,105.0
2659,105.0
2711,105.0
2764,114.1875
2818,114.1875
2870,114.1875
2923,114.1875
2976,114.1875
3030,114.1875
3144,123.0
3196,123.0
3247,123.0
3299,123.0
3352,123.0
3406,140.25
3459,140.25
3513,140.25
3565,140.25
3618,140.25
3671,140.25
3725,140.25
3840,148.4375
3897,148.4375
3951,148.4375
4008,148.4375
4062,164.5
4117,164.5
4170,164.5
4225,164.5
4279,164.5
4332,164.5
4386,172.25
4442,172.25
4560,172.25
4615,172.25
4669,172.25
4724,180.0
4779,180.0
4835,180.0
4891,180.0
4948,180.0
5002,180.0
5057,195.0
5113,195.0
5170,195.0
5290,195.0
5346,195.0
5401,202.125
5457,202.125
5512,202.125
5568,202.125
5624,202.125
5681,202.125
5738,209.25
5793,209.25
5850,209.25
5905,209.25
6026,222.5
6084,222.5
6140,222.5
6198,222.5
6254,222.5
6310,222.5
6366,229.0625
6423,229.0625
6481,229.0625
6538,229.0625
6597,229.0625
6655,229.0625
6775,235.4375
6831,235.4375
6889,235.4375
6947,235.4375
7006,247.6875
7063,247.6875
7120,247.6875
7177,247.6875
7236,247.6875
7295,247.6875
7353,253.5
7409,253.5
7529,253.5
7587,253.5
7643,253.5
7702,264.3125
7760,264.3125
7818,264.3125
7876,264.3125
7932,264.3125
7989,269.4375
8046,269.4375
8107,269.4375
8164,269.4375
8285,269.4375
8343,274.125
8400,274.125
8458,274.125
8516,274.125
8576,274.125
8635,274.125
8694,282.8125
8755,282.8125
8812,282.8125
8871,282.8125
8931,282.8125
9054,287.0625
9112,287.0625
9172,287.0625
9230,287.0625
9288,287.0625
9346,291.25
9407,291.25
9467,291.25
9525,291.25
9585,291.25
9644,299.125
9703,299.125
9825,299.125
9883,299.125
9942,299.125
10001,302.875
10060,302.875
10120,302.875
10180,302.875
10238,302.875
10296,310.125
10355,310.125
10414,310.125
10473,310.125
10595,310.125
10657,313.875
10717,313.875
10778,313.875
10837,313.875
10897,313.875
10956,317.25
11016,317.25
11077,317.25
11137,317.25
11196,317.25
11256,317.25
11380,323.4375
11440,323.4375
11500,323.4375
11562,323.4375
11622,326.375
11683,326.375
11742,326.375
11805,326.375
11865,326.375
11927,329.125
11988,329.125
12049,329.125
12173,329.125
12236,329.125
12297,334.625
12359,334.625
12420,334.625
12482,334.625
12543,334.625
12603,337.625
12665,337.625
12728,337.625
12789,337.625
12850,337.625
12976,343.6875
13040,343.6875
13103,343.6875
13166,343.6875
13228,343.6875
13292,347.125
13355,347.125
13419,347.125
13482,347.125
13547,347.125
13610,350.5625
13675,350.5625
13802,350.5625
13867,350.5625
13932,356.625
13995,356.625
14057,356.625
14121,356.625
14184,356.625
14248,359.6875
14312,359.6875
14376,359.6875
14439,359.6875
14504,359.6875
14631,362.875
14695,362.875
14758,362.875
14823,362.875
14890,369.0625
14954,369.0625
15018,369.0625
15082,369.0625
15147,369.0625
15212,369.0625
15278,372.0
15343,372.0
15472,372.0
15538,372.0
15604,376.4375
15669,376.4375
15733,376.4375
15797,376.4375
15862,376.4375
15928,379.125
15993,379.125
16058,379.125
16124,379.125
16189,379.125
16320,381.75
16386,381.75
16452,381.75
16518,381.75
16585,386.5
16653,386.5
16718,386.5
16782,386.5
16848,386.5
16913,388.875
16979,388.875
17044,388.875
17175,388.875
17239,393.5625
17306,393.5625
17370,393.5625
17437,393.5625
17501,393.5625
17566,396.0
17630,396.0
17694,396.0
17758,396.0
17823,396.0
17887,398.1875
18018,398.1875
18083,398.1875
18148,398.1875
18212,402.5625
18277,402.5625
18341,402.5625
18407,402.5625
18508,402.5625
18558,404.5625
18607,404.5625
18657,404.5625
18707,404.5625
18820,404.5625
18869,406.625
18918,406.625
18969,406.625
19017,406.625
19069,406.625
19120,406.625
19170,406.625
19220,410.5625
19271,410.5625
19320,410.5625
19370,410.5625
19486,410.5625
19536,412.375
19587,412.375
19639,412.375
19689,412.375
19742,412.375
19793,412.375
19845,416.0
19896,416.0
19949,416.0
20001,416.0
20053,416.0
20169,417.625
20221,417.625
20274,417.625
20325,417.625
20376,417.625
20427,417.625
20480,417.625
20533,419.25
20585,419.25
20639,419.25
20693,419.25
20747,419.25
20864,422.4375
20918,422.4375
20971,422.4375
21025,422.4375
21080,422.4375
21134,422.4375
21187,423.75
21241,423.75
21294,423.75
21347,423.75
21399,423.75
21453,423.75
21571,425.3125
21626,425.3125
21680,425.3125
21733,425.3125
21787,425.3125
21841,427.875
21895,427.875
21948,427.875
22000,427.875
22054,427.875
22106,427.875
22160,429.375
22278,429.375
22331,429.375
22386,429.375
22442,429.375
22496,431.5625
22550,431.5625
22605,431.5625
22663,431.5625
