elapsed_ms,temperature_c
0,248.5
78,248.5
91,248.5
104,248.5
117,248.5
129,248.5
142,248.5
154,248.5
166,248.5
179,248.5
192,248.5
204,248.5
217,248.5
298,248.0
311,248.0
324,248.0
337,248.0
350,248.0
363,248.0
376,248.0
389,248.0
402,248.0
479,248.0
492,248.0
505,248.0
519,248.0
532,248.0
545,248.0
616,255.375
630,255.375
643,255.375
657,255.375
670,255.375
683,255.375
759,255.375
772,255.375
786,255.375
799,255.375
813,255.375
883,263.1875
897,263.1875
911,263.1875
925,263.1875
938,263.1875
1006,263.1875
1020,263.1875
1072,263.1875
1123,263.1875
1175,263.1875
1226,271.25
1276,271.25
1330,271.25
1442,271.25
1494,271.25
1547,289.1875
1600,289.1875
1652,289.1875
1705,289.1875
1759,289.1875
1810,289.1875
1863,297.375
1917,297.375
1969,297.375
2023,297.375
2140,297.375
2195,304.6875
2248,304.6875
2302,304.6875
2356,304.6875
2410,304.6875
2464,304.6875
2520,320.125
2576,320.125
2630,320.125
2684,320.125
2737,320.125
2856,326.75
2911,326.75
2966,326.75
3023,326.75
3077,326.75
3132,326.75
3187,333.1875
3243,333.1875
3299,333.1875
3355,333.1875
3410,333.1875
3466,333.1875
3584,348.0625
3641,348.0625
3697,348.0625
3753,348.0625
3809,348.0625
3865,355.3125
3922,355.3125
3978,355.3125
4035,355.3125
4091,355.3125
4147,355.3125
4203,366.4375
4323,366.4375
4378,366.4375
4434,366.4375
4491,366.4375
4548,372.5625
4603,372.5625
4660,372.5625
4717,372.5625
4773,372.5625
4830,378.5625
4887,378.5625
4943,378.5625
5064,378.5625
5122,378.5625
5179,389.6875
5236,389.6875
5293,389.6875
5350,389.6875
5408,389.6875
5467,389.6875
5524,394.625
5581,394.625
5638,394.625
5696,394.625
5819,394.625
5875,403.375
5933,403.375
5990,403.375
6048,403.375
6106,403.375
6164,407.625
6221,407.625
6279,407.625
6337,407.625
6393,407.625
6451,407.625
6572,411.3125
6629,411.3125
6688,411.3125
6746,411.3125
6804,411.3125
6863,419.125
6921,419.125
6980,419.125
7038,419.125
7096,419.125
7155,422.9375
7212,422.9375
7334,422.9375
7391,422.9375
7449,422.9375
7507,428.6875
7567,428.6875
7626,428.6875
7685,428.6875
7743,428.6875
7802,428.6875
7861,430.5
7919,430.5
7979,430.5
8102,430.5
8159,432.125
8219,432.125
8277,432.125
8336,432.125
8393,432.125
8453,432.125
8510,435.0
8569,435.0
8629,435.0
8689,435.0
8747,435.0
8870,437.125
8929,437.125
8990,437.125
9050,437.125
9109,437.125
9168,441.4375
9225,441.4375
9286,441.4375
9345,441.4375
9407,441.4375
9465,442.9375
9525,442.9375
9650,442.9375
9711,442.9375
9770,442.9375
9830,445.9375
9889,445.9375
9950,445.9375
